l5,lat,lon
Suba,4.6,-74.51667
Bosa,4.6,-74.51667
Barrios Unidos,4.6,-74.51667
Teusaquillo,4.6,-74.51667
Chapinero,9.51554,-74.59063
Los Mártires,7.03432,-75.47249
Usaquén,4.67203,-73.91502
Kennedy,4.6,-74.51667
Santa Fe,9.74494,-74.09924
Puente Aranda,1.23516,-77.26876
Antonio Nariño,1.66324,-77.0174
Rafael Uribe Uribe,4.666014,-74.07242
Fontibón,3.55639,-73.65851
La Candelaria,3.36801,-76.63359
Ciudad Bolívar,5.85389,-76.02528
San Cristobal,10.39523,-75.06562
Tunjuelito,4.6,-74.51667
Engativa,4.6,-74.51667
