l6,lat,lon
Villa Maria,10.83408,-74.76729
Veraguas,6.04177,-75.63041
El Progreso,7.01248,-71.4643
Alameda,4.6,-74.51667
El Retiro,6.05861,-75.50306
San Luis,6.04167,-74.99278
Chico Norte,7.14999,-73.13322
Santa Barbara,5.87458,-75.56706
Las Delicias,3.56833,-75.4925
La Estanzuela,4.6,-74.51667
Palermo,2.89167,-75.4375
San Antonio Norte,4.6,-74.51667
Santa Paula,8.06389,-73.45278
La Calleja,6.227342,-75.604451
Niza,8.80737,-75.86382
Centenario,8.58501,-74.9645
Cedritos,4.6,-74.51667
Las Orquideas,2.40898,-72.90056
Eduardo Santos,-2.16667,-79.7
Los Rosales,1.52079,-75.63412
Andes Norte,7.14999,-73.13322
El Refugio,5.53,-73.76056
La Estancia,9.38333,-75.5
Las Nieves,7.17125,-75.29413
Nueva Castilla,8.73213,-73.72276
Quirigua,11.45,-69.33
Chapinero Central,-0.2,-76.65
El Salitre,6.03716,-73.40368
Salitre,3.905,-74.35333
Gran America,8.87028,-76.07889
Patio Bonito,4.57131,-73.15118
Alcala,4.67472,-75.7825
Prado Veraniego,3.372527,-75.587282
Restrepo,3.82203,-76.52242
Las Aguas,4.60238,-74.06744
La Merced,5.393426,-75.558475
Ciudadela Colsubsidio,4.6,-74.51667
Hayuelos,4.6,-74.51667
Madelena,4.6,-74.51667
Bella Suiza,4.05997,-73.50652
El Castillo,3.653574,-74.130783
Castilla,8.73213,-73.72276
Colina Campestre,11.261067,-69.44942
Ciudad Salitre,3.905,-74.35333
Las Cruces,7.65,-72.68333
Chapinero Alto,2.692,-76.77366
Bochica,4.28832,-74.38819
Pablo VI,4.425995,-74.48764
San Diego,10.33427,-73.18004
Nicolas De Federman,19.624161,-99.305091
Gratamira,4.6,-74.51667
El Tunal,10.92531,-72.71882
Pontevedra,4.6,-74.51667
Marly,4.6,-74.51667
Modelia,4.48496,-74.45856
Villas De Granada,3.53861,-73.70056
Gran Granada,11.92899,-85.953695
Santa Ana,9.32125,-74.56848
Chico Navarra,9.03333,-79.16667
La Felicidad,9.36363,-74.16099
Libertador,4.60481,-74.12012
Puente Largo,8.09825,-77.59902
El Contador,4.6,-74.51667
Las Ferias,4.6,-74.51667
Chico Reservado,-27.444066,-65.751946
Normandia,3.97111,-75.5875
La Granja,3.17528,-75.53056
Roma,1.27868,-77.49007
El Virrey,2.009102,-75.959206
Villa Claudia,1.59312,-75.66221
Centro Internacional,4.613597,-74.070632
Metropolis,4.6,-74.51667
San Cipriano,3.84142,-76.89825
La Soledad,6.74947,-70.92879
Portales Del Norte,5.78643,-73.51706
Santa Maria Del Lago,2.936398,-75.635527
Lagos De Cordoba,8.236951,-75.736206
Mazuren,4.6,-74.51667
Mirandela,4.6,-74.51667
Parque Central Bavaria,8.309,-82.101592
Pinar De Suba,4.745889,-74.096068
Zona Franca,4.6,-74.51667
20 De Julio,10.59528,-74.75611
