l_all,lat,lon
"Guainía,Colombia",2.727537,-68.811118
"Risaralda,Colombia",5.275739,-75.987105
"Santa Rosa,Bolívar,Colombia",10.44472,-75.36972
"El Recreo,Barranquilla,Atlántico,Colombia",10.96389,-74.79639
"Las Orquideas,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Norte de Santander,Colombia",8.188397,-72.868532
"Dibulla,La Guajira,Colombia",11.27251,-73.30911
"Quindío,Colombia",4.50643,-75.711043
"Norte-Centro Histórico,Barranquilla,Atlántico,Colombia",10.99428,-74.83046
"Facatativá,Cundinamarca,Colombia",4.81367,-74.35453
"Filandia,Quindío,Colombia",4.67472,-75.65833
"Eduardo Santos,Santa Fe,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"Los Rosales,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Andes Norte,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"El Refugio,Fontibón,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",20.722181,-103.348373
"Valledupar,Cesar,Colombia",10.46314,-73.25322
"Belén,Medellín,Antioquia,Colombia",6.23265,-75.59884
"Leticia,Amazonas,Colombia",-4.21528,-69.94056
"Los Patios,Norte de Santander,Colombia",7.83793,-72.5037
"San Gil,Santander,Colombia",6.55573,-73.13309
"San Jerónimo,Antioquia,Colombia",6.44344,-75.72815
"El Peñón,Cundinamarca,Colombia",5.25264,-74.29069
"Santa Mónica,Cali,Valle del Cauca,Colombia",3.43722,-76.5225
"La Estancia,Ciudad Bolívar,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",5.0,-74.16667
"Puerto Salgar,Cundinamarca,Colombia",5.46304,-74.65436
"Las Nieves,Santa Fe,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",5.0,-74.16667
"Nueva Castilla,Fontibón,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",20.722181,-103.348373
"Quirigua,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Retiro,Antioquia,Colombia",6.05861,-75.50306
"Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"San Andrés,San Andrés Providencia y Santa Catalina,Colombia",10.60361,-75.28824
"Boyacá,Colombia",5.45372,-73.3625
"Melgar,Tolima,Colombia",4.20475,-74.64075
"Cota,Cundinamarca,Colombia",4.80938,-74.098
"Chapinero Central,Chapinero,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"San Cristobal,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"Yopal,Casanare,Colombia",5.349077,-72.406082
"El Salitre,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Girón,Santander,Colombia",7.0682,-73.16981
"Tunjuelito,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"Engativa,Zona Occidental,Bogotá D.C,Cundinamarca,Colombia",20.722181,-103.348373
"Salitre ,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Bolívar,Colombia",10.26667,-75.46667
"Guayabal,Medellín,Antioquia,Colombia",6.33429,-75.69525
"Gran America,Teusaquillo,Zona Chapinero,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Candelaria,Medellín,Antioquia,Colombia",6.25184,-75.56359
"Villamaría,Caldas,Colombia",5.04492,-75.5146
"San Bernardo,Cundinamarca,Colombia",4.17864,-74.42311
"Patio Bonito,Kennedy,Zona Suroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"El Limonar,Cali,Valle del Cauca,Colombia",3.39778,-76.51139
"El Poblado,Medellín,Antioquia,Colombia",6.25184,-75.56359
"Alcala,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"San Cristóbal,Medellín,Antioquia,Colombia",6.27876,-75.63523
"Rafael Uribe Uribe,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",37.490824,15.059433
"Carmen de Apicalá,Tolima,Colombia",4.14725,-74.72014
"Prado Veraniego,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Restrepo,Antonio Nariño,Zona Sur,Bogotá D.C,Cundinamarca,Colombia",37.490824,15.059433
"Las Aguas,La Candelaria,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",5.089656,-74.341269
"La Cumbre,Valle del Cauca,Colombia",3.64999,-76.56984
"Gachancipá,Cundinamarca,Colombia",4.99111,-73.87154
"La Guajira,Colombia",11.45007,-72.449429
"Granada,Meta,Colombia",3.53861,-73.70056
"La Merced,Santa Fe,Zona Centro,Bogotá D.C,Cundinamarca,Colombia",5.0,-74.16667
"Ciudadela Colsubsidio,Suba,Zona Noroccidental,Bogotá D.C,Cundinamarca,Colombia",44.52575,18.521256
"Cauca,Colombia",2.57173,-76.77979
"Santa Isabel,Cali,Valle del Cauca,Colombia",3.43722,-76.5225
