l2,lat,lon
Santander,6.676329,-73.416147
Antioquia,6.25184,-75.56359
Atlántico,10.663115,-74.983775
Córdoba,8.236951,-75.736206
Cundinamarca,5.089656,-74.341269
Meta,3.32996,-73.433265
Valle del Cauca,3.679421,-76.378822
Caldas,5.285408,-75.423319
Risaralda,5.275739,-75.987105
Magdalena,10.250191,-74.446167
Cauca,2.57173,-76.77979
Huila,2.647118,-75.47747
Bolívar,10.26667,-75.46667
Tolima,3.54944,-75.69278
Norte de Santander,8.188397,-72.868532
Quindío,4.50643,-75.711043
Caquetá,0.65008,-74.001041
Sucre,8.81136,-74.72084
Boyacá,5.45372,-73.3625
Guainía,2.727537,-68.811118
La Guajira,11.45007,-72.449429
Cesar,9.882069,-73.42306
Amazonas,-1.25482,-71.329261
San Andrés Providencia y Santa Catalina,10.60361,-75.28824
Casanare,5.42627,-71.601866
Vichada,4.883522,-69.231175
Chocó,5.405297,-76.782215
