l4,lat,lon
Zona Noroccidental,44.52575,18.521256
Zona Suroccidental,44.52575,18.521256
Las Palmas,8.4696,-73.87831
Zona Chapinero,44.52575,18.521256
Zona Centro,4.6,-74.51667
Zona Norte,4.6,-74.51667
Pance,3.32943,-76.63542
Campo Alegre,2.659258,-75.331487
Zona Sur,4.6,-74.51667
Paseo de la Castellana,4.6,-74.51667
Laureles,3.1,-74.88333
Zona Occidental,20.722181,-103.348373
El Recreo,10.58333,-74.18333
Norte-Centro Histórico,10.99428,-74.83046
Belén,5.98892,-72.91254
Santa Mónica,3.54278,-73.61722
Guayabal,5.03103,-74.88682
Candelaria,3.40671,-76.34819
El Limonar,3.59417,-76.66472
El Poblado,4.6,-74.51667
San Cristóbal,10.39523,-75.06562
Santa Isabel,4.71418,-75.09799
Puerto Colombia,10.98778,-74.95472
Buenos Aires,3.002089,-76.75257
La Flora,4.6,-74.51667
Ciudad Jardín,3.36139,-76.53429
Aranjuez,6.291769,-75.547477
Popular,4.6,-74.51667
Ríomar,10.28079,-74.04952
Olaya,6.62988,-75.80298
Santa Cruz,1.282618,-77.736305
Robledo,4.25111,-76.22778
Soledad,10.91843,-74.76459
El Prado,6.262581,-75.564093
Santa Elena,3.11667,-75.08333
Antonia Santos,3.75763,-73.16907
San Alonso,2.28076,-77.06297
San Mateo,2.77717,-75.25642
Nueva Granada,9.80168,-74.39304
Caney,3.28199,-75.00221
